CYCLE  0
PE( 0, 0): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 0, 1): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-TREG, EAST<-nan
PE( 0, 2): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 0, 3): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 0, 4): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 1, 0): OPCODE= jumpl, PRED<-nan, OP1<-EAST, OP2<-SOUTH, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 1, 1): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-NORTH, SOUTH<-ALU_BYPASS, EAST<-nan
PE( 1, 2): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-TREG, SOUTH<-nan, EAST<-nan
PE( 1, 3): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 1, 4): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 2, 0): OPCODE= jumpl, PRED<-nan, OP1<-EAST, OP2<-nan, NORTH<-ALU_BYPASS, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 2, 1): OPCODE= jumpl, PRED<-nan, OP1<-NORTH, OP2<-ALU_BYPASS, NORTH<-nan, WEST<-EAST, SOUTH<-nan, EAST<-nan
PE( 2, 2): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-TREG, SOUTH<-nan, EAST<-nan
PE( 2, 3): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 2, 4): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 3, 0): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 3, 1): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 3, 2): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 3, 3): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 3, 4): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 4, 0): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 4, 1): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 4, 2): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 4, 3): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan
PE( 4, 4): OPCODE= jumpl, PRED<-nan, OP1<-nan, OP2<-nan, NORTH<-nan, WEST<-nan, SOUTH<-nan, EAST<-nan

CYCLE  1
